Date,Open,High,Low,Close,Adj Close,Volume
2021-02-03,51.250000,51.529999,50.419998,50.470001,50.470001,17253300
2021-02-04,50.330002,51.500000,50.230000,51.450001,51.450001,18708100
2021-02-05,51.860001,52.070000,50.939999,51.110001,51.110001,14202100
2021-02-08,51.060001,52.080002,51.020000,51.849998,51.849998,14767100
2021-02-09,52.000000,52.990002,51.360001,52.720001,52.720001,15090000
2021-02-10,53.040001,53.060001,52.040001,52.750000,52.750000,16432700
2021-02-11,52.919998,53.310001,52.509998,53.230000,53.230000,11175900
2021-02-12,53.320000,53.599998,52.950001,53.230000,53.230000,10112600
2021-02-16,53.000000,53.230000,52.540001,52.840000,52.840000,10818000
2021-02-17,52.730000,53.250000,52.410000,52.990002,52.990002,10978500
2021-02-18,52.680000,52.869999,52.259998,52.560001,52.560001,14533500
2021-02-19,52.410000,52.599998,51.770000,52.099998,52.099998,15143500
2021-02-22,51.970001,52.860001,51.810001,52.500000,52.500000,13478300
2021-02-23,52.799999,53.419998,52.080002,53.340000,53.340000,18276000
2021-02-24,52.570000,53.529999,52.570000,53.400002,53.400002,19295800
2021-02-25,53.090000,53.410000,51.950001,52.240002,52.240002,22603700
2021-02-26,52.270000,53.459999,51.889999,52.720001,52.720001,22780500
2021-03-01,53.220001,54.709999,52.880001,54.450001,54.450001,17367300
2021-03-02,54.310001,54.779999,54.070000,54.250000,54.250000,14981200
2021-03-03,53.919998,54.799999,53.639999,53.730000,53.730000,22761200
2021-03-04,53.820000,55.250000,53.599998,53.930000,53.930000,28153500
2021-03-05,54.689999,55.270000,53.930000,55.090000,55.090000,22049600
2021-03-08,54.820000,55.830002,54.669998,55.480000,55.480000,25301800
2021-03-09,55.470001,56.119999,55.110001,55.570000,55.570000,25288200
2021-03-10,56.099998,57.689999,55.770000,57.209999,57.209999,23594500
2021-03-11,56.619999,57.700001,56.610001,56.889999,56.889999,17490200
2021-03-12,56.849998,57.389999,56.209999,57.090000,57.090000,18368400
2021-03-15,57.230000,57.590000,56.529999,57.529999,57.529999,14733100
2021-03-16,57.590000,58.590000,57.369999,58.040001,58.040001,14121600
2021-03-17,57.400002,57.880001,56.560001,57.500000,57.500000,17565500
2021-03-18,56.680000,57.119999,55.799999,55.869999,55.869999,18937700
2021-03-19,55.520000,56.040001,55.270000,55.459999,55.459999,32972100
2021-03-22,55.700001,56.520000,55.250000,56.369999,56.369999,18293000
2021-03-23,56.459999,56.720001,56.000000,56.139999,56.139999,14716600
2021-03-24,56.049999,56.509998,55.860001,55.919998,55.919998,15751200
2021-03-25,56.169998,56.500000,55.430000,56.299999,56.299999,17462700
2021-03-26,56.200001,56.560001,53.860001,55.180000,55.180000,24126400
